content,score,Label,text_clean
"ketika harga saham naik dan saya mulai menjual, prosesnya lama dan alhasil setelah saya menunggu MACH dan saham pun keburu turun 📉 ANEH,,!!! tapi ketika saya DEPOSITO dan mulai membeli saham prosesnya malah cpt kan LUCU",1,Negatif,ketika harga saham naik dan saya mulai menjual prosesnya lama dan alhasil setelah saya menunggu mach dan saham pun keburu turun  aneh tapi ketika saya deposito dan mulai membeli saham prosesnya malah cpt kan lucu
tolong di permudan lgi untuk upgrade ke Bibit Plus untuk pilihan bank harus banyak opsi tidak harus pakai bank jago,1,Negatif,tolong di permudan lgi untuk upgrade ke bibit plus untuk pilihan bank harus banyak opsi tidak harus pakai bank jago
perbaiki terus sistem apk nya..,2,Negatif,perbaiki terus sistem apk nya
selalu gagal registrasi padahal data sudah sesuai. aplikasi tdk jelas wkwk,1,Negatif,selalu gagal registrasi padahal data sudah sesuai aplikasi tdk jelas wkwk
"untuk permasalahan sudah, selesai, sangat bagus untuk team supportnya memberi solusinya , terima kasih",5,Positif,untuk permasalahan sudah selesai sangat bagus untuk team supportnya memberi solusinya  terima kasih
"saya sarankan temen² jgn pernah investasi ke apk ini, Karena proses pencairan uangnya sangat lama, katanya 7 hari kerja, tapi uang saya udah lewat 7 hari kerja belom di cairkan",1,Negatif,saya sarankan temen jgn pernah investasi ke apk ini karena proses pencairan uangnya sangat lama katanya  hari kerja tapi uang saya udah lewat  hari kerja belom di cairkan
"Thanks to bibit, dari tahun 2021 jadi konsisten buat nabung jangka panjang. Karena sistem pencairannya lama, cocok buat orang boros kayak aku hahaha (jadi mikir 2x buat narik uang tabungan terus)",5,Positif,thanks to bibit dari tahun  jadi konsisten buat nabung jangka panjang karena sistem pencairannya lama cocok buat orang boros kayak aku hahaha jadi mikir x buat narik uang tabungan terus
terimakasih saya jadi suka menyisihkan uang2 sisa saya disini semoga manfaat kedepannya,5,Positif,terimakasih saya jadi suka menyisihkan uang sisa saya disini semoga manfaat kedepannya
"aneh saya sudah melakukan penjualan saham dengan harga terbaru, tapi tidak terjual pada saat waktu yang sama juga, habis itu harga sudah turun lagi, tidak saya cancel order selang 25 menit harga naik lagi tapi masih belum terjual juga, sampe harga turun lagi, sudah terjadi 4 kali perulangan harga naik dan turun dan masih belum terjual. apakah harus harga diatas harga jual kah, apa emang gimana?",1,Negatif,aneh saya sudah melakukan penjualan saham dengan harga terbaru tapi tidak terjual pada saat waktu yang sama juga habis itu harga sudah turun lagi tidak saya cancel order selang  menit harga naik lagi tapi masih belum terjual juga sampe harga turun lagi sudah terjadi  kali perulangan harga naik dan turun dan masih belum terjual apakah harus harga diatas harga jual kah apa emang gimana
"tempat investasi paling nyaman buat pemula dengan modal seadanya, 2 tahun pakai Bibit sejauh ini masih sangat nyaman. tampilan sederhana dan memudahkan pemula seperti saya. Keren!",5,Positif,tempat investasi paling nyaman buat pemula dengan modal seadanya  tahun pakai bibit sejauh ini masih sangat nyaman tampilan sederhana dan memudahkan pemula seperti saya keren
