Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
06/02/2023,4.938,4.963,5.025,4.875,"109,10M","-0,50%"
07/02/2023,5.088,4.975,5.113,4.95,"118,13M","3,04%"
08/02/2023,5.1,5.063,5.113,5.05,"75,66M","0,25%"
09/02/2023,5.125,5.15,5.2,5.125,"108,52M","0,49%"
10/02/2023,5.15,5.225,5.225,5.075,"81,11M","0,49%"
13/02/2023,5.175,5.275,5.275,5.125,"47,97M","0,49%"
14/02/2023,5.188,5.225,5.225,5.138,"32,26M","0,24%"
15/02/2023,5.113,5.15,5.175,5.05,"90,23M","-1,45%"
16/02/2023,5.088,5.113,5.138,5.063,"49,61M","-0,49%"
17/02/2023,5.15,5.088,5.15,5.05,"49,80M","1,23%"
20/02/2023,5.138,5.15,5.15,5.1,"40,95M","-0,24%"
21/02/2023,5.1,5.15,5.15,5.088,"52,60M","-0,73%"
22/02/2023,5.0,5.063,5.088,4.975,"90,13M","-1,96%"
23/02/2023,5.038,4.988,5.05,4.963,"177,53M","0,75%"
24/02/2023,5.063,5.063,5.113,5.038,"63,51M","0,50%"
27/02/2023,5.075,5.038,5.075,5.025,"39,61M","0,25%"
28/02/2023,5.0,5.038,5.075,5.0,"146,44M","-1,48%"
01/03/2023,5.05,5.075,5.1,5.025,"89,57M","1,00%"
02/03/2023,5.113,5.075,5.15,5.075,"73,02M","1,24%"
03/03/2023,5.025,5.1,5.125,5.013,"88,63M","-1,71%"
06/03/2023,5.063,5.088,5.113,5.038,"53,84M","0,75%"
07/03/2023,5.088,5.075,5.138,5.063,"70,48M","0,49%"
08/03/2023,5.138,5.125,5.138,5.088,"87,87M","0,98%"
09/03/2023,5.225,5.2,5.25,5.175,"83,29M","1,70%"
10/03/2023,5.188,5.213,5.213,5.138,"111,42M","-0,72%"
13/03/2023,5.175,5.138,5.188,5.113,"92,83M","-0,24%"
14/03/2023,4.963,5.1,5.138,4.925,"192,77M","-4,11%"
15/03/2023,5.025,5.025,5.088,4.925,"233,24M","1,26%"
16/03/2023,4.925,5.038,5.038,4.913,"124,90M","-1,99%"
17/03/2023,5.05,4.975,5.063,4.963,"175,66M","2,54%"
20/03/2023,5.0,5.025,5.05,5.0,"46,45M","-0,99%"
21/03/2023,5.25,5.05,5.25,5.038,"116,46M","5,00%"
24/03/2023,5.45,5.313,5.475,5.288,"263,58M","3,81%"
27/03/2023,5.1,5.2,5.213,5.1,"152,30M","-6,42%"
28/03/2023,5.063,5.1,5.138,5.05,"86,37M","-0,74%"
29/03/2023,5.175,5.125,5.188,5.1,"88,21M","2,22%"
