userName,score,at,content
Anak Ragel,1,2025-05-09 21:58:35,"ketika harga saham naik dan saya mulai menjual, prosesnya lama dan alhasil setelah saya menunggu MACH dan saham pun keburu turun 📉 ANEH,,!!! tapi ketika saya DEPOSITO dan mulai membeli saham prosesnya malah cpt kan LUCU"
Agus Prihartono,3,2025-05-09 15:50:41,Mohon dibuatkan aplikasi ini berputar otomatis bila menggunakan tablet
Yehezkiel,1,2025-05-09 12:04:13,tolong di permudan lgi untuk upgrade ke Bibit Plus untuk pilihan bank harus banyak opsi tidak harus pakai bank jago
masda ramadona,3,2025-05-09 00:08:49,kenapa lama banget uang yang di tarik harus nunggu 7 hari bursa
Hanan Mashuri,2,2025-05-08 21:15:16,perbaiki terus sistem apk nya..
Dennys P,1,2025-05-08 18:06:05,selalu gagal registrasi padahal data sudah sesuai. aplikasi tdk jelas wkwk
Agum Ruswandi,5,2025-05-08 17:29:04,"untuk permasalahan sudah, selesai, sangat bagus untuk team supportnya memberi solusinya , terima kasih"
Jaka Ubay,1,2025-05-08 15:34:41,"saya sarankan temen² jgn pernah investasi ke apk ini, Karena proses pencairan uangnya sangat lama, katanya 7 hari kerja, tapi uang saya udah lewat 7 hari kerja belom di cairkan"
SCP 1999b,5,2025-05-08 11:57:48,"Thanks to bibit, dari tahun 2021 jadi konsisten buat nabung jangka panjang. Karena sistem pencairannya lama, cocok buat orang boros kayak aku hahaha (jadi mikir 2x buat narik uang tabungan terus)"
Muhammad Syarif,5,2025-05-08 10:11:50,terimakasih saya jadi suka menyisihkan uang2 sisa saya disini semoga manfaat kedepannya
Abdillah Rosyad Surya Pratama,1,2025-05-08 10:09:36,"aneh saya sudah melakukan penjualan saham dengan harga terbaru, tapi tidak terjual pada saat waktu yang sama juga, habis itu harga sudah turun lagi, tidak saya cancel order selang 25 menit harga naik lagi tapi masih belum terjual juga, sampe harga turun lagi, sudah terjadi 4 kali perulangan harga naik dan turun dan masih belum terjual. apakah harus harga diatas harga jual kah, apa emang gimana?"
engel langi,5,2025-05-08 09:22:38,"tempat investasi paling nyaman buat pemula dengan modal seadanya, 2 tahun pakai Bibit sejauh ini masih sangat nyaman. tampilan sederhana dan memudahkan pemula seperti saya. Keren!"
Hudi Hidayat,5,2025-05-07 22:51:44,"mohon untuk penarikan di buka seluruh bank, jangan hanya 1 bang biar se fleksibel seperti saat deposit, seharusnya bagian WD pun di samakan all bank ! .."
deki dwi prayitno,5,2025-05-07 21:33:41,apl terbaik untuk investasi
Anggi Ahmad Ramdani,5,2025-05-07 11:10:55,"Mantaaap, buat yg mau belajar nabung"
Mustofa Fauzan,3,2025-05-07 00:27:42,penarikan saldo di bibit sangat lama bisa semingguan mohon di tindak lanjuti
Oky Ghiovanza Frasetya,5,2025-05-06 19:30:32,nice baru instal lagi saldo masi aman thanks bibit💯
YT.RUSDA. GG 123,5,2025-05-06 16:30:16,ini apk bagus buat kalian yang mau investasi disinih
Zikril 1302,1,2025-05-06 14:06:33,"aplikasi nya bagus tapi kalo buat dicairin nya terlalu lama sampe 7 hari padahal saya lagi butuh banget di hari Rabu buat bayar rumah sakit, jangan terlalu lama untuk cairin nya"
agus gunawan,5,2025-05-06 12:40:53,belajar nabung + investasi tanpa sibuk scalping
Abdul Aziz,3,2025-05-06 06:56:56,mau saya jual tapi kok gak bisa gimana caranya kak
zee spirits,2,2025-05-06 00:32:03,satu hari lebih verifikasi lama bener
Arya Ferdiansyah,1,2025-05-05 21:42:03,"kenapa masalah koneksi terus ya padahal sinyal lancar jadi tidak bisa apa""aplikasinya"
Agus Indra,1,2025-05-05 15:00:06,autodebit dari tanggal 1 mei 2025 smpe sekarang belum di ACC kacau sih
Okman Okman,5,2025-05-05 13:48:45,"Aplikasi yang sangat mudah di gunakan untuk pemula,bisa jual beli saham juga disini. Sangat rekomended..."
Ganis Haryo,1,2025-05-05 10:03:08,"aplikasi jelek, lemot. mau nanya sama cs balesannya lama. mau nambahkan rekening tapi udah disuruh verifikasi muka masih gabisa aneh"
Firman Saputra,3,2025-05-05 06:36:12,tolong lah akun saya lama sekali di verifikasi sampe 2 hari Masi aja belum
A'IM GAMING,3,2025-05-04 20:19:18,"kelemahannya pas di sat jual beli aja si, prosesnya llluuuuaaaammmmaaaaa bbbbbuuuaaannnggeettt."
Putri,2,2025-05-04 14:26:57,"ini kenapa ya pas dibuka ""reload"" mulu alias ga bisa dibuka pas mau buka apknya, selalu disuruh liat jaringan mulu ""perhatikan kembali koneksi anda"" dikira kita buta apa ya... bikin kesel aj"
Ahmad Sopian Sopian,5,2025-05-03 13:25:54,aplikasi investasi yg paling keren menurut ku
muhammad syaihutofuri,5,2025-05-03 10:29:37,"belajar nabung sampai target, mudah di pelajari, top"
Amirah kemala sabita,5,2025-05-02 20:26:39,"sangat amat berguna buat pemula yng ingin ber invest thanks bibit, semoga tidak mengecewa kan"
FADLU ROBBI,1,2025-05-02 16:32:04,KENAPA BIBIT HARI INI GAK BISA DI BUKA ALASANNYA JARINGAN GAK STABIL ADA APA DENGAN BIBIT?
vina yuliandari,3,2025-05-02 06:47:23,Aplikasinya tidak bisa dibuka kenapa ya?
Bambang Hariyono,1,2025-05-02 04:45:06,Aplikasinya ngebug.tidak mau terbuka
Iyen yenss,1,2025-05-01 11:13:26,"tolongg dong gimana yaa aku ga bisa masuk ke akun aku aplikasi nya sllu nyuruh Reload mulu, aku kira Karena belum update pas udah di update tetap aja sama gak bisa masuk ke aplikasi nyaa"
D Rio Saputro,4,2025-05-01 09:49:46,ya sejauh ini bagus
Agustio Siregar,1,2025-05-01 04:23:51,"Udh h+7 saldo ga masuk2 ke saldo RDN, niatnya emang mau nahan duit saya? Aplikasi ga jelas"
Aldian Krismayudi,1,2025-04-30 23:58:11,lupa pin dan tidak dapat ubah nomor hp yg telah tdk aktif
