"","Kecemasan","GM","Emosi","Aman","MATHMEAN"
"1",6,2,-0.1228,-0.756,438.94
"3",2,2,0.0192,0.1368,350.7568
"6",4,2,-0.4185,-0.756,436.7284
"7",5,3,-0.6009,-0.756,295.1952
"8",5,1,-0.564,-2.1268,381.5684
"9",6,3,1.6409,-0.0974,370.5708
"10",4,3,0.0234,-0.756,274.2359
"11",4,2,1.0191,-0.756,450.8931
"13",4,2,0.3802,-1.1042,370.5228
"15",4,2,0.1365,-0.039,531.5373
"16",2,1,0.5539,-1.5679,466.4017
"20",4,3,0.384,-0.756,349.2509
"21",4,3,-0.6271,-0.756,363.1958
"23",5,2,0.3656,1.1246,412.6653
"24",3,3,-0.6702,1.1246,329.6352
"25",2,2,-0.4971,-0.756,351.2128
"26",7,2,-0.5818,-1.2555,391.0383
"27",4,3,0.0893,-0.756,392.7062
"29",4,4,-1.3602,-0.756,398.8846
"30",5,3,-0.76,-0.756,285.3473
"31",4,2,-0.3556,-1.2589,560.2255
"32",4,2,0.2089,-0.756,472.8798
"33",3,3,0.8022,-0.756,391.1785
"34",4,3,0.2188,1.1246,356.8417
"35",6,2,-0.1168,-0.756,325.0961
"39",8,1,0.6009,1.1246,315.3464
"42",4,3,0.5721,-0.756,345.9187
"43",4,2,-0.6746,-0.756,505.2462
"45",4,3,-0.1342,-1.1042,388.3823
"46",6,2,0.1811,-0.756,433.7956
"48",6,2,0.6373,-0.756,496.6418
"50",4,3,0.6428,-0.756,324.3035
"51",4,2,-0.0359,-1.6365,352.6525
"53",4,3,-0.6608,-0.756,328.4291
"55",4,3,-0.4781,-0.756,360.1952
"56",5,2,0.6458,0.1413,327.8991
"57",6,3,-0.6065,-0.756,318.297
"60",4,3,-0.156,-1.5326,451.9222
"62",4,3,0.0188,-0.756,396.8217
"63",4,3,-0.2419,-0.756,407.4427
"64",4,3,-0.3822,1.1246,295.4024
"65",4,3,0.0904,-0.756,346.7158
"66",2,3,-0.2343,-0.756,287.1064
"67",5,3,-0.431,0.6942,398.3162
"68",5,2,-0.2261,-1.1042,399.293
"70",4,3,0.7296,1.1246,298.4413
"71",4,1,0.8632,1.1246,269.6634
"72",6,2,0.1494,-0.756,465.5795
"74",3,3,-0.183,1.1246,289.9615
"77",4,1,-2.7112,0.6942,511.6119
"78",2,1,-0.3335,-0.039,360.0274
"79",6,2,0.0804,-2.0413,430.3281
"80",4,4,-0.6691,-1.6365,447.9624
"82",2,1,-0.7787,-1.306,489.0565
"83",2,2,0.4371,-0.756,462.4395
"86",4,2,0.3773,-0.0918,377.9193
"90",4,3,0.0197,-0.039,370.3743
"94",4,3,-0.5987,1.1246,297.5311
"96",2,4,-2.3572,1.1246,349.7686
"99",4,3,-0.5929,-0.756,285.4998
"101",2,2,-1.8245,-0.0918,441.9811
"102",5,4,-0.126,-1.1042,370.5432
"103",4,3,-0.6674,-0.756,351.1699
"104",6,1,0.5644,-0.0323,429.8971
"107",2,1,1.5375,-0.756,292.9828
"108",6,3,-0.1637,-1.1042,322.5924
"109",2,2,-1.1767,0.4014,386.6537
"111",3,3,-1.0401,0.0518,405.6796
"112",2,3,0.0481,-1.8609,280.4953
"113",4,4,-1.1912,0.4417,359.5608
"114",5,3,-0.2044,1.1246,314.0822
"115",8,3,-0.0619,1.1246,309.7273
"117",3,3,-0.0842,-0.756,511.4947
"119",4,3,-0.4221,-1.4526,344.1559
"120",2,4,-1.2418,1.1246,380.4083
"121",2,3,-0.6196,-0.756,366.587
"123",3,1,-0.921,-0.756,449.9695
"124",6,2,-0.2058,-1.9603,366.3029
"126",2,3,0.3542,-0.756,332.4031
"127",4,3,-0.2443,-0.0918,463.7597
"131",4,2,0.5487,-0.0918,366.1201
"133",2,2,-0.7178,-0.756,374.1604
"136",2,2,-0.5732,-0.756,560.179
"137",3,2,-0.2535,-0.756,419.6162
"138",4,3,0.1638,-0.756,361.5166
"141",2,3,-0.4538,1.1246,317.1321
"144",4,1,0.5399,1.1246,345.8814
"145",4,4,-0.2873,-0.756,442.0386
"146",4,3,-0.4248,1.1246,354.8782
"147",4,2,-0.2497,-0.756,466.786
"148",4,3,0.3665,-0.756,363.0693
"149",4,2,0.7244,-0.756,484.2709
"152",3,1,0.2745,0.6942,474.485
"153",6,3,-0.77,0.4417,388.4359
"154",5,2,0.3762,-0.756,393.4392
"155",4,3,-0.2462,1.1246,369.3536
"159",4,3,-0.0665,1.1246,291.2901
"160",2,3,0.3305,0.1798,425.9479
"162",5,3,-0.1521,-0.756,367.3901
"164",4,2,-0.441,-0.756,457.3409
"165",4,2,-0.2114,-0.756,414.6827
"167",6,3,0.3377,-0.756,270.6121
"168",4,1,-0.732,-0.756,523.9924
"169",8,4,0.6931,1.1246,312.234
"170",5,3,-0.3883,-1.6613,378.5587
"173",4,2,0.5468,-0.756,324.9099
"174",6,2,-0.516,-1.1042,338.3632
"175",6,2,-0.7135,-1.5326,405.8434
"176",4,2,-0.3591,-0.756,424.034
"178",5,2,0.169,-0.756,417.2737
"179",6,3,0.0015,-0.756,353.4692
"181",6,2,-0.3613,-0.756,414.4003
"182",4,3,-0.7915,-0.756,390.69
"184",4,1,-1.2987,0.4417,381.0894
"185",4,3,-0.4895,-0.756,397.9592
"186",4,2,-0.6715,-0.756,422.0202
"187",4,3,-0.4008,-0.756,344.9483
"189",5,2,0.0042,1.1246,336.2277
"191",4,1,0.6669,-0.0918,343.4594
"192",4,3,0.6868,-1.15,323.1519
"193",2,2,0.3108,-1.2684,473.8692
"194",4,3,0.7244,-0.756,379.3155
"195",2,2,2.8922,-1.15,385.6681
"199",5,3,-0.0663,0.6342,292.2438
"200",5,3,0.2271,-0.756,351.3145
"201",6,2,0.7752,1.1246,532.3281
"202",2,4,-2.5507,-1.16,422.3132
"203",5,3,0.5647,-0.756,407.9086
"204",2,3,-3.2624,-1.1042,434.9882
"205",8,1,0.3,-1.2589,322.1414
"206",2,2,-0.3541,1.1246,428.0909
"207",3,1,0.0412,-0.0918,374.0216
"211",5,2,0.4069,1.1246,471.9662
"212",3,4,-0.6998,-0.756,290.0721
"214",8,4,-0.6886,0.4836,433.532
"218",4,3,0.7101,-1.7615,332.3946
"220",3,1,-2.4305,0.4417,474.0252
"221",4,2,-0.1127,-0.756,482.4915
"222",4,2,0.073,-0.756,409.3686
"231",5,3,-0.1688,-0.756,367.9155
"232",3,2,-0.7097,-0.0918,456.855
"234",4,3,-0.7851,-1.3019,305.7542
"236",4,3,-0.6343,-0.756,395.7736
"237",4,3,-0.2481,0.2485,315.2626
"239",4,3,-0.2631,-0.756,284.6368
"241",2,3,-0.7879,0.4417,471.5414
"242",5,2,-1.2552,0.4417,547.4915
"243",5,2,-0.721,-0.039,508.8627
"245",3,3,0.6158,-1.1042,317.8784
"246",5,3,-0.0749,-1.15,253.8727
"247",3,4,-1.412,-1.5644,409.5561
"249",6,3,-0.5297,-0.756,284.2069
"251",5,1,0.2604,0.4836,282.0665
"253",7,3,0.0836,1.1246,333.2959
"254",4,2,0.0664,-0.756,384.9617
"256",6,3,-0.3202,-0.756,340.0476
"257",4,2,-0.0697,1.1246,489.6453
"258",8,4,3.0429,1.1246,381.3339
"259",8,4,-0.0446,1.1246,375.4914
"260",5,2,0.2983,-0.756,399.5858
"261",8,4,-0.1792,1.1246,472.7798
"262",6,3,0.2412,-0.756,323.9307
"266",4,3,-0.0032,-1.6365,428.093
"268",6,2,-0.007,-0.756,325.8316
"269",2,4,0.206,0.1329,347.8623
"272",4,3,-0.8465,1.1246,377.0223
"273",4,3,-0.5709,1.1246,474.4532
"276",3,4,-0.6427,1.1246,441.0403
"278",3,3,-0.5175,-0.756,495.6811
"280",6,3,2.1875,0.4836,303.1026
"281",2,2,0.3727,-0.756,319.8193
"284",4,3,0.2101,-0.756,328.0076
"285",6,3,0.7356,1.1246,312.531
"286",4,3,-0.4303,-0.756,352.6674
"287",4,2,0.2913,-0.756,462.4565
"289",6,4,0.9353,1.1246,347.7075
"292",4,2,-0.6149,-0.756,320.8347
"294",4,3,-1.1203,-0.756,355.706
"298",6,1,0.6959,1.1246,306.8424
"299",4,3,-0.4761,1.1246,404.2192
"300",4,2,0.2394,-0.756,413.0914
"301",3,3,-0.3152,0.1413,307.2874
"303",4,3,-0.8102,0.4417,384.3466
"304",3,2,-1.0687,-1.3894,411.7099
"305",2,3,-2.1802,-1.1441,404.151
"308",4,2,-0.7737,-0.756,465.3221
"309",6,2,0.2055,-0.756,379.9208
"311",4,3,0.8121,-0.756,412.7075
"312",5,3,0.3192,-0.0842,301.3704
"313",4,3,-0.2016,-1.3019,382.5805
"316",4,3,-0.2358,-1.4414,307.8237
"320",8,4,1.6379,-0.756,415.1292
"322",6,3,0.1893,0.1368,365.1752
"324",4,3,-0.4056,1.1246,388.5408
"325",3,1,-0.7936,0.0877,462.9437
"327",3,2,0.1638,-0.756,365.9119
"330",5,3,-1.3374,-0.756,411.5095
"331",5,3,-1.2169,-1.1042,434.1433
"332",4,2,0.8782,-0.756,470.1558
"333",6,2,0.5744,-0.756,343.0512
"334",5,4,-0.2588,1.1246,337.8955
"336",3,3,-0.1555,-0.756,325.8152
"338",5,2,0.0241,-0.756,462.5585
"339",2,2,-0.5995,-1.1042,492.4762
"340",4,2,-0.2363,-0.756,495.7527
"341",4,3,-0.5212,-1.1042,401.262
"342",5,2,0.8004,-0.756,462.9509
"343",2,4,-0.5259,-0.756,403.0869
"345",4,1,0.1922,-0.756,277.3914
"347",6,2,0.7907,1.1246,365.3563
"348",5,3,1.2343,1.1246,349.8234
"350",4,2,0.0319,0.6942,364.0114
"351",4,3,-0.7139,-0.756,372.7014
"352",5,3,0.177,-0.756,327.6889
"354",6,1,-0.1551,0.1368,372.1308
"355",4,2,0.0612,-0.756,459.0215
"356",4,3,-0.1914,-0.756,393.8515
"357",4,3,0.2488,-0.756,367.9131
"359",2,2,-0.6251,-0.756,399.1497
"361",5,3,-0.4141,-1.1042,534.1495
"362",4,3,-0.0812,-0.756,287.5405
"364",4,3,-0.1926,-0.756,331.0411
"366",4,2,0.4488,-0.756,367.1026
"367",3,3,-0.0538,-0.756,370.0732
"368",6,3,-0.1098,-0.756,309.7683
"372",4,1,1.4207,-0.756,389.0689
"374",4,4,0.0539,-1.2684,355.6898
"375",6,3,0.1096,0.4836,446.4636
"378",4,3,-1.8792,-0.756,365.575
"379",4,2,0.2959,-0.756,399.8025
"382",2,2,-2.7422,-1.1042,412.4845
"390",4,2,0.3569,-0.756,431.4111
"391",4,2,0.2012,-0.756,326.3829
"392",4,3,-0.8504,-0.756,296.1533
"394",4,3,-0.6361,-0.756,328.8229
