content,score,Label,text_clean
"kenapa aplikasi ini GK bisa di buka ,udah 1 hari GK bisa di buka tolong bantuannya 🙏🙏",4,Positif,kenapa aplikasi ini gk bisa di buka udah  hari gk bisa di buka tolong bantuannya 
tidak memuaskan pas mau top up masa kena pajak 2500,3,Positif,tidak memuaskan pas mau top up masa kena pajak 
Aplikasinya simpel. tapi belom brani ambil saham. 😅,5,Positif,aplikasinya simpel tapi belom brani ambil saham 
"kenapa bibit gw ga bisa di buka, masalah koneksi, padahal koneksi gw ga ada masalah min.",4,Positif,kenapa bibit gw ga bisa di buka masalah koneksi padahal koneksi gw ga ada masalah min
"aplikasi nya lagi bermasalah ya saya email tidak di balas, saya tidak bisa login",5,Positif,aplikasi nya lagi bermasalah ya saya email tidak di balas saya tidak bisa login
tolong dong pas verifikasi data bank ada ke e-wallet juga karna saya belum punya rekening bank gimana ini jadi saya ga bisa mengisinya tolong kepada developer bibit,4,Positif,tolong dong pas verifikasi data bank ada ke ewallet juga karna saya belum punya rekening bank gimana ini jadi saya ga bisa mengisinya tolong kepada developer bibit
keuntungan terealisasi jangan hanya ditampilkan all time (sepanjang waktu) saja. tapi beri opsi kalau kita mau liat perbulan juga. terima kasih,1,Negatif,keuntungan terealisasi jangan hanya ditampilkan all time sepanjang waktu saja tapi beri opsi kalau kita mau liat perbulan juga terima kasih
"seharian saya coba untuk membuka aplikasi ini tapi tidak bisa, apakah sedang maintenance, kalo iya mohon diberitahukan sebelumnya, namun kenapa juga maintenance nya selama ini",4,Positif,seharian saya coba untuk membuka aplikasi ini tapi tidak bisa apakah sedang maintenance kalo iya mohon diberitahukan sebelumnya namun kenapa juga maintenance nya selama ini
"aplikasinya nggak bisa kebuka, udah saya coba di beberapa handphone, katanya tidak ada jaringan, padahal jaringan hp saya bagus",2,Negatif,aplikasinya nggak bisa kebuka udah saya coba di beberapa handphone katanya tidak ada jaringan padahal jaringan hp saya bagus
setelah saya update kenapa ada bug pada proses topup? saya jadi tidak bisa memilih nominal yang sesuai dengan yg saya mau,5,Positif,setelah saya update kenapa ada bug pada proses topup saya jadi tidak bisa memilih nominal yang sesuai dengan yg saya mau
"Mau menghubungi cs aja susahnya minta ampun. Via apk cuma pake bot aja, move ke wa bales satu jam kemudian. Coba ke ig juga gak beda jauh. Ini CS nya buruk bgt gak sigap, gimana ini udh pake Bibit lama jadi kecewa bgt perkara kinerja buruk dr CS nya",1,Negatif,mau menghubungi cs aja susahnya minta ampun via apk cuma pake bot aja move ke wa bales satu jam kemudian coba ke ig juga gak beda jauh ini cs nya buruk bgt gak sigap gimana ini udh pake bibit lama jadi kecewa bgt perkara kinerja buruk dr cs nya
