content,score,Label
"kenapa aplikasi ini GK bisa di buka ,udah 1 hari GK bisa di buka tolong bantuannya 🙏🙏",4,Positif
tidak memuaskan pas mau top up masa kena pajak 2500,3,Positif
Aplikasinya simpel. tapi belom brani ambil saham. 😅,5,Positif
"kenapa bibit gw ga bisa di buka, masalah koneksi, padahal koneksi gw ga ada masalah min.",4,Positif
"aplikasi nya lagi bermasalah ya saya email tidak di balas, saya tidak bisa login",5,Positif
tolong dong pas verifikasi data bank ada ke e-wallet juga karna saya belum punya rekening bank gimana ini jadi saya ga bisa mengisinya tolong kepada developer bibit,4,Positif
keuntungan terealisasi jangan hanya ditampilkan all time (sepanjang waktu) saja. tapi beri opsi kalau kita mau liat perbulan juga. terima kasih,1,Negatif
"seharian saya coba untuk membuka aplikasi ini tapi tidak bisa, apakah sedang maintenance, kalo iya mohon diberitahukan sebelumnya, namun kenapa juga maintenance nya selama ini",4,Positif
"aplikasinya nggak bisa kebuka, udah saya coba di beberapa handphone, katanya tidak ada jaringan, padahal jaringan hp saya bagus",2,Negatif
setelah saya update kenapa ada bug pada proses topup? saya jadi tidak bisa memilih nominal yang sesuai dengan yg saya mau,5,Positif
"Mau menghubungi cs aja susahnya minta ampun. Via apk cuma pake bot aja, move ke wa bales satu jam kemudian. Coba ke ig juga gak beda jauh. Ini CS nya buruk bgt gak sigap, gimana ini udh pake Bibit lama jadi kecewa bgt perkara kinerja buruk dr CS nya",1,Negatif
"Hai @bibit , sepertinya kamu butuh update untuk sebuah perbaikan, kami ( rata rata banyak orang ) mengeluhkan sulit login, padahal kualitas jaringan kami sangat baik. hanya stock di gambar bibit. untuk bibit tetap aku kasih bintang 5 lho. sebab memberikan support dan masukan agar menjadi yang lebih baik, gak harus memberikan ulasan negatif. saya tunggu update nya...trmksh",5,Positif
verivikasi ny butuh brp lma sih uda 2 hari masi ga kelar2 makin ga percaya aja ma ni app,1,Negatif
proses cairnya lama,1,Negatif
bagus aplikasinya,5,Positif
simple dan informasi cepat,5,Positif
