content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"kenapa aplikasi ini GK bisa di buka ,udah 1 hari GK bisa di buka tolong bantuannya 🙏🙏",4,Positif,kenapa aplikasi ini gk bisa di buka udah  hari gk bisa di buka tolong bantuannya ,aplikasi gk buka udah gk buka tolong bantuannya,"['aplikasi', 'gk', 'buka', 'udah', 'gk', 'buka', 'tolong', 'bantuannya']",aplikasi gk buka udah gk buka tolong bantu
tidak memuaskan pas mau top up masa kena pajak 2500,3,Positif,tidak memuaskan pas mau top up masa kena pajak ,memuaskan pas top up kena pajak,"['memuaskan', 'pas', 'top', 'up', 'kena', 'pajak']",muas pas top up kena pajak
Aplikasinya simpel. tapi belom brani ambil saham. 😅,5,Positif,aplikasinya simpel tapi belom brani ambil saham ,aplikasinya simpel belom brani ambil saham,"['aplikasinya', 'simpel', 'belom', 'brani', 'ambil', 'saham']",aplikasi simpel bom brani ambil saham
"kenapa bibit gw ga bisa di buka, masalah koneksi, padahal koneksi gw ga ada masalah min.",4,Positif,kenapa bibit gw ga bisa di buka masalah koneksi padahal koneksi gw ga ada masalah min,bibit gw ga buka koneksi koneksi gw ga min,"['bibit', 'gw', 'ga', 'buka', 'koneksi', 'koneksi', 'gw', 'ga', 'min']",bibit gw ga buka koneksi koneksi gw ga min
"aplikasi nya lagi bermasalah ya saya email tidak di balas, saya tidak bisa login",5,Positif,aplikasi nya lagi bermasalah ya saya email tidak di balas saya tidak bisa login,aplikasi nya bermasalah ya email balas login,"['aplikasi', 'nya', 'bermasalah', 'ya', 'email', 'balas', 'login']",aplikasi nya masalah ya email balas login
tolong dong pas verifikasi data bank ada ke e-wallet juga karna saya belum punya rekening bank gimana ini jadi saya ga bisa mengisinya tolong kepada developer bibit,4,Positif,tolong dong pas verifikasi data bank ada ke ewallet juga karna saya belum punya rekening bank gimana ini jadi saya ga bisa mengisinya tolong kepada developer bibit,tolong pas verifikasi data bank ewallet karna rekening bank gimana ga mengisinya tolong developer bibit,"['tolong', 'pas', 'verifikasi', 'data', 'bank', 'ewallet', 'karna', 'rekening', 'bank', 'gimana', 'ga', 'mengisinya', 'tolong', 'developer', 'bibit']",tolong pas verifikasi data bank ewallet karna rekening bank gimana ga isi tolong developer bibit
keuntungan terealisasi jangan hanya ditampilkan all time (sepanjang waktu) saja. tapi beri opsi kalau kita mau liat perbulan juga. terima kasih,1,Negatif,keuntungan terealisasi jangan hanya ditampilkan all time sepanjang waktu saja tapi beri opsi kalau kita mau liat perbulan juga terima kasih,keuntungan terealisasi ditampilkan all time opsi liat perbulan terima kasih,"['keuntungan', 'terealisasi', 'ditampilkan', 'all', 'time', 'opsi', 'liat', 'perbulan', 'terima', 'kasih']",untung realisasi tampil all time opsi liat bulan terima kasih
"seharian saya coba untuk membuka aplikasi ini tapi tidak bisa, apakah sedang maintenance, kalo iya mohon diberitahukan sebelumnya, namun kenapa juga maintenance nya selama ini",4,Positif,seharian saya coba untuk membuka aplikasi ini tapi tidak bisa apakah sedang maintenance kalo iya mohon diberitahukan sebelumnya namun kenapa juga maintenance nya selama ini,seharian coba membuka aplikasi maintenance kalo iya mohon diberitahukan maintenance nya,"['seharian', 'coba', 'membuka', 'aplikasi', 'maintenance', 'kalo', 'iya', 'mohon', 'diberitahukan', 'maintenance', 'nya']",hari coba buka aplikasi maintenance kalo iya mohon diberitahukan maintenance nya
"aplikasinya nggak bisa kebuka, udah saya coba di beberapa handphone, katanya tidak ada jaringan, padahal jaringan hp saya bagus",2,Negatif,aplikasinya nggak bisa kebuka udah saya coba di beberapa handphone katanya tidak ada jaringan padahal jaringan hp saya bagus,aplikasinya nggak kebuka udah coba handphone jaringan jaringan hp bagus,"['aplikasinya', 'nggak', 'kebuka', 'udah', 'coba', 'handphone', 'jaringan', 'jaringan', 'hp', 'bagus']",aplikasi nggak buka udah coba handphone jaring jaring hp bagus
setelah saya update kenapa ada bug pada proses topup? saya jadi tidak bisa memilih nominal yang sesuai dengan yg saya mau,5,Positif,setelah saya update kenapa ada bug pada proses topup saya jadi tidak bisa memilih nominal yang sesuai dengan yg saya mau,update bug proses topup memilih nominal sesuai yg,"['update', 'bug', 'proses', 'topup', 'memilih', 'nominal', 'sesuai', 'yg']",update bug proses topup pilih nominal sesuai yg
